    # Step         Domain_Size
    820000      1.24878044E+01     -2.49999538E-01      5.15996456E-01      5.52936363E+01      1.13077307E+01
    830000      1.26030769E+01     -2.49999493E-01      5.16498804E-01      5.61221848E+01      9.30041504E+00
    840000      1.24878044E+01     -2.49999449E-01      5.16473174E-01      5.09549484E+01      9.85776043E+00
    850000      1.24498482E+01     -2.49999449E-01      5.16247869E-01      4.83311691E+01      7.15028381E+00
    860000      1.24498482E+01     -2.49999464E-01      5.16665161E-01      5.07779541E+01      5.42901278E+00
    870000      1.25259943E+01     -2.49999464E-01      5.16411722E-01      5.18108978E+01      8.98430824E+00
    880000      1.25259943E+01     -2.49999449E-01      5.17067432E-01      4.95304947E+01      9.35206509E+00
    890000      1.24878044E+01     -2.49999464E-01      5.16512156E-01      4.93384132E+01      1.01859188E+01
    900000      1.26811142E+01     -2.49999434E-01      5.16096532E-01      4.60181999E+01      6.24721718E+00
    910000      1.25644169E+01     -2.49999493E-01      5.17067194E-01      4.88806000E+01      1.12890654E+01
    920000      1.24878044E+01     -2.49999478E-01      5.16008615E-01      4.41799507E+01      1.14765825E+01
    930000      1.24878044E+01     -2.49999478E-01      5.16396999E-01      4.76924820E+01      1.26486864E+01
    940000      1.25259943E+01     -2.49999449E-01      5.16311884E-01      4.64383011E+01      1.21813040E+01
    950000      1.27204971E+01     -2.49999478E-01      5.16620278E-01      4.64003830E+01      8.18166542E+00
    960000      1.26030769E+01     -2.49999493E-01      5.16532540E-01      4.75944557E+01      8.41071033E+00
    970000      1.26419754E+01     -2.49999508E-01      5.17082334E-01      5.06052361E+01      1.26580324E+01
    980000      1.26419754E+01     -2.49999464E-01      5.16854167E-01      5.02821541E+01      1.15599432E+01
    990000      1.26811142E+01     -2.49999434E-01      5.16494274E-01      5.11288643E+01      8.23666859E+00
   1000000      1.26030769E+01     -2.49999478E-01      5.16081452E-01      5.13828621E+01      9.86241627E+00
   1010000      1.26030769E+01     -2.49999449E-01      5.16714633E-01      4.96440926E+01      1.08385611E+01
   1020000      1.24878044E+01     -2.49999464E-01      5.16887665E-01      5.35238991E+01      1.20117292E+01
   1030000      1.24498482E+01     -2.49999478E-01      5.15970886E-01      5.10606918E+01      7.96905661E+00
   1040000      1.24878044E+01     -2.49999464E-01      5.16438842E-01      5.19828339E+01      7.73518610E+00
   1050000      1.25644169E+01     -2.49999478E-01      5.16331434E-01      4.78529091E+01      7.13848829E+00
   1060000      1.25259943E+01     -2.49999508E-01      5.15924931E-01      4.78971863E+01      7.01151371E+00
   1070000      1.24498482E+01     -2.49999493E-01      5.16684651E-01      4.67624626E+01      1.08651199E+01
   1080000      1.26030769E+01     -2.49999478E-01      5.16138494E-01      4.85621986E+01      9.94319153E+00
   1090000      1.26030769E+01     -2.49999478E-01      5.16938269E-01      5.19351692E+01      9.52400780E+00
   1100000      1.25259943E+01     -2.49999389E-01      5.15738487E-01      4.84738655E+01      1.17445459E+01
   1110000      1.25644169E+01     -2.49999523E-01      5.16551971E-01      5.03288040E+01      1.20629158E+01
   1120000      1.25259943E+01     -2.49999493E-01      5.15978873E-01      5.21346550E+01      1.01626387E+01
   1130000      1.26030769E+01     -2.49999464E-01      5.16247153E-01      5.25107460E+01      8.86850166E+00
   1140000      1.26030769E+01     -2.49999478E-01      5.16670167E-01      4.94017143E+01      1.00670958E+01
   1150000      1.25644169E+01     -2.49999478E-01      5.16506672E-01      4.84401169E+01      1.05535784E+01
   1160000      1.26030769E+01     -2.49999464E-01      5.16606092E-01      5.28122482E+01      8.73752689E+00
   1170000      1.24878044E+01     -2.49999359E-01      5.15884578E-01      4.57455482E+01      8.94547558E+00
   1180000      1.25644169E+01     -2.49999389E-01      5.16406596E-01      5.00726776E+01      1.13715296E+01
   1190000      1.26811142E+01     -2.49999449E-01      5.16407371E-01      5.25600548E+01      1.44437380E+01
   1200000      1.24498482E+01     -2.49999508E-01      5.16324937E-01      5.30493507E+01      1.12086859E+01
   1210000      1.26419754E+01     -2.49999419E-01      5.16843975E-01      5.19730225E+01      1.06559763E+01
   1220000      1.25259943E+01     -2.49999493E-01      5.16943097E-01      5.01915359E+01      1.09489765E+01
   1230000      1.25259943E+01     -2.49999478E-01      5.16099572E-01      4.68142967E+01      1.09629307E+01
   1240000      1.25259943E+01     -2.49999434E-01      5.16290665E-01      4.82699242E+01      1.05518274E+01
   1250000      1.25644169E+01     -2.49999508E-01      5.16701758E-01      4.59192886E+01      8.58229446E+00
   1260000      1.25644169E+01     -2.49999404E-01      5.16454041E-01      4.64512596E+01      1.00647669E+01
   1270000      1.25259943E+01     -2.49999449E-01      5.16116679E-01      4.80463638E+01      9.49420547E+00
   1280000      1.25644169E+01     -2.49999508E-01      5.16199350E-01      4.71092110E+01      1.06694298E+01
   1290000      1.24878044E+01     -2.49999478E-01      5.17204165E-01      4.60859070E+01      1.02347412E+01
   1300000      1.24121208E+01     -2.49999478E-01      5.16730070E-01      4.76167030E+01      1.19078465E+01
